2024-10-04 16:03:08 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:03:08 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:03:08 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:03:08 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:03:08 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:03:08 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:03:08 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
2024-10-04 16:17:53 - Usuário logado:  - SQLSTATE[HY000]: General error: 1364 Field 'municipio_id' doesn't have a default value
